'sample interval','left-foot'
15428,0.286
15429,0.286
15430,0.286
15431,0.287
15432,0.286
15433,0.286
15434,0.286
15435,0.286
15436,0.285
15437,0.285
15438,0.283
15439,0.282
15440,0.281
15441,0.280
15442,0.277
15443,0.276
15444,0.273
15445,0.272
15446,0.269
15447,0.267
15448,0.264
15449,0.261
15450,0.258
15451,0.256
15452,0.253
15453,0.250
15454,0.247
15455,0.245
15456,0.242
15457,0.239
15458,0.237
15459,0.234
15460,0.231
15461,0.229
15462,0.226
15463,0.224
15464,0.222
15465,0.220
15466,0.216
15467,0.214
15468,0.212
15469,0.210
15470,0.208
15471,0.206
15472,0.203
15473,0.200
15474,0.198
15475,0.196
15476,0.193
15477,0.192
15478,0.191
15479,0.190
15480,0.188
15481,0.186
15482,0.184
15483,0.183
15484,0.181
15485,0.179
15486,0.177
15487,0.175
15488,0.174
15489,0.173
15490,0.171
15491,0.171
15492,0.171
15493,0.170
15494,0.169
15495,0.169
15496,0.168
15497,0.168
15498,0.167
15499,0.167
15500,0.166
15501,0.167
15502,0.167
15503,0.166
15504,0.166
15505,0.164
15506,0.164
15507,0.164
15508,0.165
15509,0.165
15510,0.164
15511,0.163
15512,0.161
15513,0.160
15514,0.160
15515,0.159
15516,0.157
15517,0.157
15518,0.157
15519,0.157
15520,0.156
15521,0.157
15522,0.158
15523,0.159
15524,0.159
15525,0.161
15526,0.162
15527,0.164
15528,0.165
15529,0.167
15530,0.169
15531,0.170
15532,0.172
15533,0.172
15534,0.174
15535,0.173
15536,0.175
15537,0.176
15538,0.177
15539,0.178
15540,0.178
15541,0.179
15542,0.180
15543,0.179
15544,0.180
15545,0.180
15546,0.179
15547,0.180
15548,0.180
15549,0.180
15550,0.179
15551,0.179
15552,0.177
15553,0.175
15554,0.172
15555,0.169
15556,0.164
15557,0.160
15558,0.152
15559,0.143
15560,0.129
15561,0.118
15562,0.095
15563,0.075
15564,0.039
15565,0.005
15566,-0.048
15567,-0.086
15568,-0.142
15569,-0.170
15570,-0.209
15571,-0.235
15572,-0.268
15573,-0.288
15574,-0.315
15575,-0.334
15576,-0.359
15577,-0.379
15578,-0.408
15579,-0.429
15580,-0.459
15581,-0.483
15582,-0.480
15583,-0.480
15584,-0.485
15585,-0.476
15586,-0.491
15587,-0.505
15588,-0.519
15589,-0.523
15590,-0.534
15591,-0.537
15592,-0.536
15593,-0.537
15594,-0.542
15595,-0.546
15596,-0.547
15597,-0.547
15598,-0.548
15599,-0.549
15600,-0.547
15601,-0.545
15602,-0.546
15603,-0.546
15604,-0.547
15605,-0.549
15606,-0.551
15607,-0.552
15608,-0.553
15609,-0.553
15610,-0.553
15611,-0.552
15612,-0.552
15613,-0.552
15614,-0.554
15615,-0.554
15616,-0.555
15617,-0.556
15618,-0.556
15619,-0.557
15620,-0.557
15621,-0.559
15622,-0.559
15623,-0.559
15624,-0.560
15625,-0.560
15626,-0.561
15627,-0.562
15628,-0.563
15629,-0.563
15630,-0.565
15631,-0.567
15632,-0.568
15633,-0.568
15634,-0.568
15635,-0.569
15636,-0.572
15637,-0.573
15638,-0.573
15639,-0.575
15640,-0.575
15641,-0.577
15642,-0.580
15643,-0.582
15644,-0.586
15645,-0.588
15646,-0.592
15647,-0.593
15648,-0.594
15649,-0.595
15650,-0.596
15651,-0.597
15652,-0.600
15653,-0.601
15654,-0.602
15655,-0.603
15656,-0.602
15657,-0.603
15658,-0.603
15659,-0.603
15660,-0.604
15661,-0.606
15662,-0.605
15663,-0.606
15664,-0.606
15665,-0.607
15666,-0.606
15667,-0.606
15668,-0.606
15669,-0.605
15670,-0.605
15671,-0.605
15672,-0.605
15673,-0.605
15674,-0.603
15675,-0.602
15676,-0.602
15677,-0.600
15678,-0.599
15679,-0.596
15680,-0.594
15681,-0.592
15682,-0.591
15683,-0.589
15684,-0.588
15685,-0.586
15686,-0.586
15687,-0.584
15688,-0.585
15689,-0.585
15690,-0.583
15691,-0.583
15692,-0.582
15693,-0.570
15694,-0.529
15695,-0.486
15696,-0.399
15697,-0.317
15698,-0.202
15699,-0.118
15700,-0.013
15701,0.034
15702,0.077
15703,0.104
15704,0.124
15705,0.138
15706,0.155
15707,0.167
15708,0.179
15709,0.189
15710,0.198
15711,0.203
15712,0.210
15713,0.214
15714,0.218
15715,0.222
15716,0.225
15717,0.228
15718,0.230
15719,0.231
15720,0.233
15721,0.233
15722,0.235
15723,0.236
15724,0.237
15725,0.238
15726,0.240
15727,0.243
15728,0.245
15729,0.248
15730,0.251
15731,0.254
15732,0.257
15733,0.260
15734,0.263
15735,0.267
15736,0.270
15737,0.271
15738,0.274
15739,0.276
15740,0.279
15741,0.280
15742,0.283
15743,0.285
15744,0.287
15745,0.289
15746,0.291
15747,0.292
15748,0.294
15749,0.294
15750,0.295
15751,0.296
15752,0.296
15753,0.296
15754,0.296
15755,0.296
15756,0.296
15757,0.295
15758,0.294
15759,0.293
15760,0.292
15761,0.291
15762,0.290
15763,0.288
15764,0.286
15765,0.285
15766,0.283
15767,0.281
15768,0.278
15769,0.276
15770,0.273
15771,0.271
15772,0.268
15773,0.265
15774,0.263
15775,0.259
15776,0.257
15777,0.254
15778,0.250
15779,0.248
15780,0.245
15781,0.242
15782,0.239
15783,0.237
15784,0.234
15785,0.231
15786,0.228
15787,0.226
15788,0.222
15789,0.220
15790,0.217
15791,0.215
15792,0.212
15793,0.209
15794,0.207
15795,0.204
15796,0.200
15797,0.198
15798,0.194
15799,0.192
15800,0.189
15801,0.187
15802,0.184
15803,0.183
15804,0.181
15805,0.180
15806,0.178
15807,0.177
15808,0.176
15809,0.174
15810,0.174
15811,0.173
15812,0.173
15813,0.172
15814,0.170
15815,0.169
15816,0.168
15817,0.167
15818,0.168
15819,0.169
15820,0.167
15821,0.168
15822,0.168
15823,0.168
15824,0.168
15825,0.167
15826,0.167
15827,0.167
15828,0.168
15829,0.169
15830,0.169
15831,0.170
15832,0.172
15833,0.173
15834,0.174
15835,0.175
15836,0.177
15837,0.180
15838,0.182
15839,0.183
15840,0.184
15841,0.185
15842,0.187
15843,0.188
15844,0.190
15845,0.190
15846,0.192
15847,0.193
15848,0.194
15849,0.194
15850,0.195
15851,0.196
15852,0.197
15853,0.198
15854,0.198
15855,0.198
15856,0.198
15857,0.198
15858,0.198
15859,0.198
15860,0.198
15861,0.197
15862,0.196
15863,0.195
15864,0.193
15865,0.191
15866,0.187
15867,0.183
15868,0.176
15869,0.171
15870,0.161
15871,0.151
15872,0.138
15873,0.128
15874,0.111
15875,0.101
15876,0.085
15877,0.066
15878,0.042
15879,0.017
15880,-0.023
15881,-0.053
15882,-0.097
15883,-0.131
15884,-0.173
15885,-0.192
15886,-0.223
15887,-0.245
15888,-0.281
15889,-0.304
15890,-0.338
15891,-0.361
15892,-0.396
15893,-0.418
15894,-0.449
15895,-0.476
15896,-0.478
15897,-0.478
15898,-0.485
15899,-0.484
15900,-0.495
15901,-0.506
15902,-0.517
15903,-0.524
15904,-0.530
15905,-0.532
15906,-0.533
15907,-0.534
15908,-0.536
15909,-0.534
15910,-0.533
15911,-0.533
15912,-0.534
15913,-0.532
15914,-0.532
15915,-0.534
15916,-0.533
15917,-0.534
15918,-0.534
15919,-0.535
15920,-0.536
15921,-0.537
15922,-0.536
15923,-0.538
15924,-0.539
15925,-0.542
15926,-0.541
15927,-0.541
15928,-0.542
15929,-0.542
15930,-0.543
15931,-0.542
15932,-0.543
15933,-0.544
15934,-0.547
15935,-0.547
15936,-0.549
15937,-0.549
15938,-0.552
15939,-0.552
15940,-0.555
15941,-0.556
15942,-0.557
15943,-0.558
15944,-0.559
15945,-0.559
15946,-0.560
15947,-0.561
15948,-0.562
15949,-0.563
15950,-0.563
15951,-0.564
15952,-0.567
15953,-0.568
15954,-0.571
15955,-0.574
15956,-0.577
15957,-0.579
15958,-0.582
15959,-0.583
15960,-0.585
15961,-0.585
15962,-0.587
15963,-0.587
15964,-0.592
15965,-0.594
15966,-0.594
15967,-0.597
15968,-0.597
15969,-0.600
15970,-0.600
15971,-0.601
15972,-0.602
15973,-0.604
15974,-0.604
15975,-0.605
15976,-0.608
15977,-0.608
15978,-0.608
15979,-0.608
15980,-0.608
15981,-0.608
15982,-0.607
15983,-0.607
15984,-0.606
15985,-0.605
15986,-0.604
15987,-0.602
15988,-0.602
15989,-0.600
15990,-0.600
15991,-0.598
15992,-0.596
15993,-0.595
15994,-0.593
15995,-0.592
15996,-0.592
15997,-0.590
15998,-0.589
15999,-0.588
16000,-0.586
16001,-0.586
16002,-0.584
16003,-0.584
16004,-0.583
16005,-0.583
16006,-0.583
16007,-0.583
16008,-0.570
16009,-0.539
16010,-0.506
16011,-0.442
16012,-0.349
16013,-0.278
16014,-0.158
16015,-0.068
16016,0.013
16017,0.050
16018,0.085
16019,0.103
16020,0.123
16021,0.138
16022,0.153
16023,0.163
16024,0.177
16025,0.185
16026,0.195
16027,0.202
16028,0.207
16029,0.212
16030,0.217
16031,0.220
16032,0.224
16033,0.228
16034,0.231
16035,0.233
16036,0.234
16037,0.235
16038,0.235
16039,0.236
16040,0.236
16041,0.236
16042,0.237
16043,0.238
16044,0.239
16045,0.241
16046,0.244
16047,0.246
16048,0.249
16049,0.250
16050,0.253
16051,0.255
16052,0.257
16053,0.259
16054,0.262
16055,0.263
16056,0.266
16057,0.268
16058,0.270
16059,0.273
16060,0.275
16061,0.277
16062,0.279
16063,0.281
16064,0.283
16065,0.284
16066,0.285
16067,0.286
16068,0.287
16069,0.288
16070,0.288
16071,0.288
16072,0.288
16073,0.288
16074,0.288
16075,0.288
16076,0.287
16077,0.286
16078,0.286
16079,0.285
16080,0.284
16081,0.283
16082,0.281
16083,0.280
16084,0.279
16085,0.278
16086,0.276
16087,0.275
16088,0.273
16089,0.272
16090,0.270
16091,0.269
16092,0.268
16093,0.267
16094,0.265
16095,0.264
16096,0.263
16097,0.262
16098,0.261
16099,0.260
16100,0.259
16101,0.258
16102,0.255
16103,0.254
16104,0.252
16105,0.251
16106,0.249
16107,0.247
16108,0.245
16109,0.243
16110,0.241
16111,0.240
16112,0.237
16113,0.235
16114,0.232
16115,0.230
16116,0.226
16117,0.224
16118,0.220
16119,0.218
16120,0.213
16121,0.210
16122,0.205
16123,0.201
16124,0.198
16125,0.195
16126,0.191
16127,0.189
16128,0.186
16129,0.183
16130,0.181
16131,0.179
16132,0.177
16133,0.175
16134,0.173
16135,0.173
16136,0.171
16137,0.170
16138,0.168
16139,0.167
16140,0.166
16141,0.166
16142,0.167
16143,0.168
16144,0.168
16145,0.170
16146,0.174
16147,0.176
16148,0.178
16149,0.179
16150,0.181
16151,0.183
16152,0.184
16153,0.186
16154,0.188
16155,0.189
16156,0.191
16157,0.192
16158,0.193
16159,0.194
16160,0.196
16161,0.197
16162,0.198
16163,0.199
16164,0.199
16165,0.199
16166,0.201
16167,0.201
16168,0.202
16169,0.202
16170,0.202
16171,0.203
16172,0.203
16173,0.202
16174,0.202
16175,0.202
16176,0.202
16177,0.200
16178,0.199
16179,0.197
16180,0.193
16181,0.191
16182,0.186
16183,0.179
16184,0.172
16185,0.164
16186,0.151
16187,0.140
16188,0.124
16189,0.111
16190,0.098
16191,0.088
16192,0.072
16193,0.059
16194,0.035
16195,0.014
16196,-0.019
16197,-0.044
16198,-0.089
16199,-0.125
16200,-0.163
16201,-0.188
16202,-0.213
16203,-0.235
16204,-0.272
16205,-0.297
16206,-0.326
16207,-0.356
16208,-0.393
16209,-0.415
16210,-0.453
16211,-0.477
16212,-0.486
16213,-0.491
16214,-0.482
16215,-0.477
16216,-0.489
16217,-0.498
16218,-0.513
16219,-0.521
16220,-0.529
16221,-0.537
16222,-0.536
16223,-0.537
16224,-0.537
16225,-0.535
16226,-0.532
16227,-0.531
16228,-0.531
16229,-0.530
16230,-0.530
16231,-0.531
16232,-0.529
16233,-0.528
16234,-0.528
16235,-0.528
16236,-0.528
16237,-0.530
16238,-0.531
16239,-0.529
16240,-0.532
16241,-0.533
16242,-0.534
16243,-0.535
16244,-0.536
16245,-0.537
16246,-0.538
16247,-0.538
16248,-0.539
16249,-0.541
16250,-0.541
16251,-0.541
16252,-0.542
16253,-0.544
16254,-0.543
16255,-0.544
16256,-0.546
16257,-0.548
16258,-0.550
16259,-0.550
16260,-0.551
16261,-0.552
16262,-0.554
16263,-0.555
16264,-0.556
16265,-0.557
16266,-0.559
16267,-0.559
16268,-0.561
16269,-0.562
16270,-0.564
16271,-0.565
16272,-0.569
16273,-0.571
16274,-0.574
16275,-0.574
16276,-0.576
16277,-0.577
16278,-0.580
16279,-0.583
16280,-0.587
16281,-0.591
16282,-0.593
16283,-0.595
16284,-0.596
16285,-0.597
16286,-0.599
16287,-0.601
16288,-0.602
16289,-0.604
16290,-0.602
16291,-0.604
16292,-0.604
16293,-0.605
16294,-0.605
16295,-0.605
16296,-0.604
16297,-0.604
16298,-0.602
16299,-0.602
16300,-0.602
16301,-0.600
16302,-0.598
16303,-0.597
16304,-0.594
16305,-0.593
16306,-0.592
16307,-0.592
16308,-0.591
16309,-0.589
16310,-0.585
16311,-0.584
16312,-0.581
16313,-0.578
16314,-0.576
16315,-0.571
16316,-0.545
16317,-0.530
16318,-0.498
16319,-0.460
16320,-0.391
16321,-0.313
16322,-0.219
16323,-0.129
16324,-0.003
16325,0.056
16326,0.105
16327,0.132
16328,0.152
16329,0.164
16330,0.178
16331,0.186
16332,0.194
16333,0.202
16334,0.208
16335,0.213
16336,0.218
16337,0.221
16338,0.225
16339,0.228
16340,0.231
16341,0.233
16342,0.235
16343,0.237
16344,0.239
16345,0.242
16346,0.244
16347,0.245
16348,0.248
16349,0.248
16350,0.252
16351,0.255
16352,0.259
16353,0.261
16354,0.264
16355,0.267
16356,0.271
16357,0.274
16358,0.276
16359,0.278
16360,0.281
16361,0.283
16362,0.285
16363,0.287
16364,0.289
16365,0.291
16366,0.292
16367,0.293
16368,0.295
16369,0.296
16370,0.297
16371,0.298
16372,0.299
16373,0.299
16374,0.298
16375,0.298
16376,0.297
16377,0.296
16378,0.295
16379,0.294
16380,0.293
16381,0.291
16382,0.289
16383,0.288
16384,0.286
16385,0.284
16386,0.281
16387,0.279
16388,0.276
16389,0.274
16390,0.271
16391,0.268
16392,0.265
16393,0.262
16394,0.259
16395,0.257
16396,0.254
16397,0.251
16398,0.248
16399,0.245
16400,0.242
16401,0.239
16402,0.236
16403,0.233
16404,0.231
16405,0.228
16406,0.226
16407,0.223
16408,0.220
16409,0.218
16410,0.216
16411,0.214
16412,0.211
16413,0.209
16414,0.205
16415,0.203
16416,0.200
16417,0.198
16418,0.195
16419,0.194
16420,0.192
16421,0.190
16422,0.188
16423,0.186
16424,0.185
16425,0.184
16426,0.182
16427,0.180
16428,0.179
16429,0.179
16430,0.178
16431,0.177
16432,0.176
16433,0.176
16434,0.174
16435,0.175
16436,0.173
16437,0.173
16438,0.171
16439,0.173
16440,0.173
16441,0.174
16442,0.173
16443,0.172
16444,0.172
16445,0.172
16446,0.172
16447,0.173
16448,0.175
16449,0.177
16450,0.179
16451,0.181
16452,0.183
16453,0.185
16454,0.186
16455,0.187
16456,0.188
16457,0.189
16458,0.191
16459,0.192
16460,0.194
16461,0.195
16462,0.196
16463,0.198
16464,0.199
16465,0.201
16466,0.202
16467,0.203
16468,0.204
16469,0.205
16470,0.205
16471,0.205
16472,0.206
16473,0.207
16474,0.208
16475,0.208
16476,0.208
16477,0.208
16478,0.208
16479,0.208
16480,0.208
16481,0.207
16482,0.206
16483,0.205
16484,0.203
16485,0.200
16486,0.197
16487,0.194
16488,0.189
16489,0.183
16490,0.175
16491,0.167
16492,0.156
16493,0.147
16494,0.131
16495,0.117
16496,0.103
16497,0.093
16498,0.080
16499,0.070
16500,0.055
16501,0.037
16502,0.016
16503,-0.007
16504,-0.045
16505,-0.071
16506,-0.109
16507,-0.139
16508,-0.169
16509,-0.189
16510,-0.224
16511,-0.246
16512,-0.281
16513,-0.309
16514,-0.340
16515,-0.365
16516,-0.402
16517,-0.426
16518,-0.457
16519,-0.482
16520,-0.483
16521,-0.483
16522,-0.485
16523,-0.483
16524,-0.488
16525,-0.503
16526,-0.513
16527,-0.520
16528,-0.524
16529,-0.528
16530,-0.532
16531,-0.531
16532,-0.528
16533,-0.530
16534,-0.527
16535,-0.525
16536,-0.523
16537,-0.521
16538,-0.518
16539,-0.518
16540,-0.517
16541,-0.519
16542,-0.520
16543,-0.521
16544,-0.523
16545,-0.522
16546,-0.525
16547,-0.526
16548,-0.527
16549,-0.526
16550,-0.527
16551,-0.528
16552,-0.529
16553,-0.528
16554,-0.531
16555,-0.532
16556,-0.533
16557,-0.535
16558,-0.535
16559,-0.536
16560,-0.536
16561,-0.539
16562,-0.540
16563,-0.540
16564,-0.542
16565,-0.543
16566,-0.544
16567,-0.543
16568,-0.544
16569,-0.544
16570,-0.547
16571,-0.548
16572,-0.550
16573,-0.551
16574,-0.552
16575,-0.556
16576,-0.556
16577,-0.558
16578,-0.558
16579,-0.560
16580,-0.563
16581,-0.565
16582,-0.567
16583,-0.569
16584,-0.573
16585,-0.575
16586,-0.578
16587,-0.579
16588,-0.581
16589,-0.583
16590,-0.585
16591,-0.588
16592,-0.591
16593,-0.593
16594,-0.597
16595,-0.599
16596,-0.599
16597,-0.600
16598,-0.602
16599,-0.602
16600,-0.601
16601,-0.601
16602,-0.602
16603,-0.603
16604,-0.603
16605,-0.601
16606,-0.600
16607,-0.600
16608,-0.599
16609,-0.599
16610,-0.597
16611,-0.596
16612,-0.594
16613,-0.591
16614,-0.589
16615,-0.590
16616,-0.587
16617,-0.587
16618,-0.586
16619,-0.584
16620,-0.581
16621,-0.579
16622,-0.579
16623,-0.577
16624,-0.576
16625,-0.573
16626,-0.572
16627,-0.566
16628,-0.539
16629,-0.517
16630,-0.463
16631,-0.407
16632,-0.325
16633,-0.238
16634,-0.116
16635,-0.033
16636,0.052
16637,0.087
16638,0.118
16639,0.137
16640,0.154
16641,0.165
16642,0.178
16643,0.185
16644,0.194
16645,0.201
16646,0.208
16647,0.213
16648,0.219
16649,0.223
16650,0.225
16651,0.229
16652,0.233
16653,0.235
16654,0.237
16655,0.239
16656,0.242
16657,0.244
16658,0.245
16659,0.248
16660,0.249
16661,0.252
16662,0.253
16663,0.256
16664,0.259
16665,0.262
16666,0.265
16667,0.266
16668,0.269
16669,0.273
16670,0.275
16671,0.277
16672,0.280
16673,0.282
16674,0.284
16675,0.286
16676,0.288
16677,0.289
16678,0.291
16679,0.292
16680,0.294
16681,0.295
16682,0.296
16683,0.296
16684,0.297
16685,0.297
16686,0.297
16687,0.297
16688,0.296
16689,0.295
16690,0.295
16691,0.294
16692,0.293
16693,0.292
16694,0.291
16695,0.289
16696,0.288
16697,0.286
16698,0.284
16699,0.283
16700,0.281
16701,0.279
16702,0.277
16703,0.275
16704,0.273
16705,0.271
16706,0.269
16707,0.268
16708,0.265
16709,0.263
16710,0.261
16711,0.258
16712,0.256
16713,0.254
16714,0.251
16715,0.250
16716,0.247
16717,0.244
16718,0.242
16719,0.240
16720,0.237
16721,0.236
16722,0.233
16723,0.230
16724,0.228
16725,0.226
16726,0.224
16727,0.221
16728,0.219
16729,0.216
16730,0.213
16731,0.210
16732,0.206
16733,0.204
16734,0.201
16735,0.198
16736,0.195
16737,0.193
16738,0.190
16739,0.188
16740,0.184
16741,0.181
16742,0.179
16743,0.178
16744,0.175
16745,0.174
16746,0.171
16747,0.169
16748,0.168
16749,0.167
16750,0.166
16751,0.165
16752,0.164
16753,0.163
16754,0.162
16755,0.162
16756,0.161
16757,0.161
16758,0.161
16759,0.161
16760,0.163
16761,0.165
16762,0.167
16763,0.169
16764,0.171
16765,0.172
16766,0.173
16767,0.174
16768,0.175
16769,0.176
16770,0.177
16771,0.179
16772,0.181
16773,0.182
16774,0.182
16775,0.184
16776,0.185
16777,0.185
16778,0.186
16779,0.187
16780,0.188
16781,0.188
16782,0.189
16783,0.189
16784,0.189
16785,0.190
16786,0.190
16787,0.190
16788,0.191
16789,0.190
16790,0.190
16791,0.190
16792,0.189
16793,0.187
16794,0.186
16795,0.184
16796,0.180
16797,0.177
16798,0.171
16799,0.166
16800,0.156
16801,0.146
16802,0.133
16803,0.122
16804,0.108
16805,0.095
16806,0.078
16807,0.061
16808,0.039
16809,0.015
16810,-0.022
16811,-0.055
16812,-0.101
16813,-0.134
16814,-0.166
16815,-0.185
16816,-0.219
16817,-0.239
16818,-0.274
16819,-0.299
16820,-0.331
16821,-0.352
16822,-0.388
16823,-0.413
16824,-0.448
16825,-0.481
16826,-0.484
16827,-0.478
16828,-0.489
16829,-0.480
16830,-0.492
16831,-0.503
16832,-0.520
16833,-0.527
16834,-0.534
16835,-0.538
16836,-0.537
16837,-0.539
16838,-0.542
16839,-0.544
16840,-0.541
16841,-0.542
16842,-0.541
16843,-0.540
16844,-0.539
16845,-0.538
16846,-0.539
16847,-0.539
16848,-0.539
16849,-0.541
16850,-0.541
16851,-0.543
16852,-0.544
16853,-0.545
16854,-0.547
16855,-0.548
16856,-0.547
16857,-0.548
16858,-0.547
16859,-0.547
16860,-0.547
16861,-0.548
16862,-0.548
16863,-0.548
16864,-0.549
16865,-0.550
16866,-0.551
16867,-0.552
16868,-0.553
16869,-0.553
16870,-0.555
16871,-0.556
16872,-0.556
16873,-0.557
16874,-0.558
16875,-0.557
16876,-0.558
16877,-0.558
16878,-0.561
16879,-0.562
